entidad_a,enticve1,numeral,nombre1,presup1,presup2,presup3
1,1,1,DESPACHO EJECUTIVO ESTATAL,121559300,141063348.3,136675103
1,1,2,COORDINACION GENERAL DE GABINETE,17733400,17540961.27,16792150
1,1,3,SECRETARIA GENERAL DE GOBIERNO,473835400,466839826.7,419133807
1,1,4,SECRETARIA DE ADMINISTRACION,160961400,152034602.1,145570615
1,1,5,SECRETARIA DE FINANZAS,472953800,410100941.1,258308258
1,1,6,SECRETARIA DE SEGURIDAD PUBLICA,1105568000,883065548.8,834052027
1,1,7,SECRETARIA DE DESARROLLO ECONOMICO,128406000,130555671.8,126442379
1,1,8,SECRETARIA DE SALUD,1189000,564434.64,138435
1,1,9,SECRETARIA DE SUSTENTABILIDAD MEDIO AMBIENTE Y AGUA,122130600,105094784.2,95643412
1,1,10,SECRETARIA DE GESTION URBANISTICA ORDENAMIENTO TERRITORIAL REGISTRAL Y CATASTRAL,89719900,101910745.1,97954166
1,1,11,SECRETARIA DE DESARROLLO SOCIAL,187676100,218498840.8,210985458
1,1,12,SECRETARIA DE OBRAS PUBLICAS,736657200,2652030884,2075951762
1,1,13,SECRETARIA DE DESARROLLO RURAL Y AGROEMPRESARIAL,160760700,161504975.7,158531678
1,1,14,SECRETARIA DE TURISMO,95285800,109674065.8,96393543
1,1,15,COORDINACION GENERAL DE PLANEACION Y PROYECTOS,35852900,13197108.46,12989433
1,1,16,COORDINACION GENERAL DE MOVILIDAD,233148100,240763253,101236989
1,1,17,CONTRALORIA DEL ESTADO,53462700,56607945.15,53955010
1,1,18,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,19570000,19570000,19570000
1,1,19,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS SERVIDORES PUBLICOS DEL ESTADO DE AGUASCALIENTES,0,0,0
1,1,20,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,306267000,315666472,315666472
1,1,21,INSTITUTO DE ASESORIA Y DEFENSORIA PUBLICA DEL ESTADO DE AGUASCALIENTES,29639000,29639000,29639000
1,1,22,INSTITUTO AGUASCALENTENSE DE LAS MUJERES,13556000,23389362,23389362
1,1,23,INSTITUTO AGUASCALENTENSE DE LA JUVENTUD,16517000,16517000,16517000
1,1,24,INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO DE AGUASCALIENTES,0,28370352,28370352
1,1,25,PROCURADURIA ESTATAL DE PROTECCION AL AMBIENTE,6520000,6520000,6520000
1,1,26,INSTITUTO DEL AGUA DEL ESTADO,208650000,348526076,348526076
1,1,27,INSTITUTO PARA EL DESARROLLO DE LA SOCIEDAD DEL CONOCIMIENTO DEL ESTADO DE AGUASCALIENTES,40208000,40208000,40208000
1,1,28,PATRONATO DE LA FERIA NACIONAL DE SAN MARCOS,3600000,20524717,20524717
1,1,29,INSTITUTO DE EDUCACION DE AGUASCALIENTES,7555185700,7315543930,7315543930
1,1,30,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES,320000000,351118302,351118302
1,1,31,ESCUELA NORMAL DE AGUASCALIENTES,20225000,20225000,20225000
1,1,32,INSTITUTO PARA LA EDUCACION DE LAS PERSONAS JOVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES,66847000,71015421.5,70690513
1,1,33,COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE AGUASCALIENTES,96325000,104061296.2,104061296
1,1,34,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,1304299000,1352330823,1352330823
1,1,35,UNIVERSIDAD TECNOLOGICA DE AGUASCALIENTES,103555200,110929011,110929011
1,1,36,UNIVERSIDAD TECNOLOGICA DEL NORTE DE AGUASCALIENTES,65116800,70000303,70000303
1,1,37,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,54000000,62011032,62011032
1,1,38,INSTITUTO CULTURAL DE AGUASCALIENTES,242474000,255936679.5,250936679
1,1,39,INSTITUTO DEL DEPORTE DEL ESTADO DE AGUASCALIENTES,171407000,245299934,245299934
1,1,40,RADIO Y TELEVISION DE AGUASCALIENTES,46490000,53250000,53250000
1,1,41,UNIVERSIDAD TECNOLOGICA METROPOLITANA DE AGUASCALIENTES,13625300,27177062.09,27177062
1,1,42,INSTITUTO DE CAPACITACION PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES,55000000,59224481.23,59224481
1,1,43,INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,3344985200,3521035260,3516777574
1,1,44,COMISION ESTATAL DE ARBITRAJE MEDICO,5351000,5841000,5841000
1,1,45,UNIVERSIDAD TECNOLOGICA EL RETOÑO,31561600,33763774.02,33763758
